x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
549.2372,714.44183,549.2372,742.42,649.086712283,160.736165421,391.635911796,1038.92810227,71.1285818019,53.636763552,0.20784315,0.20784315,79.9350915927,27.97817,716.035553105,0.0390737162124,1.11800026894,4399.24407594,90.0,79.9350915927,-73968.6094365,-22964.2826675,-9868.74940402,-26766.3242939,4198.86446101,4270.40157159,4384.39313741
657.0874,766.40125,353.50903,793.3802,1714.68023738,620.544991501,1592.25830299,3021.0487788,3021.0487788,1592.25830299,0.18039216,0.18039216,155.633130483,304.774819293,313.520040954,0.97210633925,0.166999816895,284.562367642,174.921477098,155.633130483,-205256.374182,-107982.005316,-35578.8880346,-35578.8880346,270.591714652,272.877122636,278.340823198
389.4591,753.4114,566.2136,758.4075,1320.53895159,91.0431982903,1402.07204679,1860.48791778,1860.48791778,1569.25398426,0.15686275,0.15686275,15.7177332249,176.82509518,182.506847373,0.968868279327,0.125,1565.18458277,1.6190775661,-15.7177332249,-201610.654372,-82385.134106,-5690.10357267,-5690.10357267,1559.32492283,1561.00102014,1561.59352868
606.15814,774.395,466.32935,771.9953,992.906181344,344.484632523,1071.33497011,1790.46934977,1071.33497011,1071.33497011,0.18039216,0.18039216,74.5790737358,139.849379952,140.237961716,0.997229125696,0.128000020981,938.682647332,-179.016803434,-74.5790737358,-115272.839914,-51339.6819858,-18484.5692484,-39983.6946194,928.699614195,933.706623321,936.776230598
398.44662,763.40356,514.763,771.72534,819.243998615,210.30357406,513.058584269,1496.74217749,1496.74217749,1496.74217749,0.15686275,0.15686275,8.12659738888,116.613688213,125.342722875,0.930358664138,0.142999887466,2421.23563764,4.09221677323,-8.12659738888,-102526.636747,-31239.8047462,-12249.5188152,-12249.5188152,2402.29655448,2412.53089946,2415.20976587
617.1429,759.40674,467.389,781.9728,1250.41139118,530.202524393,1228.66254732,2122.33666405,1336.50061645,1336.50061645,0.18431373,0.18431373,171.681847999,151.444569494,151.650292246,0.998643439793,0.111999988556,734.568784311,171.430707043,171.681847999,-155136.952221,-70151.0875038,-29959.7947248,-63944.4834997,721.790145774,727.184936617,734.568784311
342.5243,809.3677,448.37726,825.35516,836.347231688,0.0,266.821663393,2191.90619293,769.980197321,142.659193373,0.18431373,0.18431373,45.5176786169,107.053482045,113.791985922,0.940782263159,0.125,3599.54232422,8.58873087465,45.5176786169,-142635.52453,-16676.3201665,171.896689392,-9341.75540479,3550.33828505,3583.78529047,3599.24405765
622.1359,774.395,491.31763,776.39343,964.850009705,277.865096908,1502.44100029,1716.21698123,1541.4632717,1502.44100029,0.1764706,0.1764706,79.0776099651,130.833533501,131.171252705,0.997425356567,0.128999948502,903.537202847,179.124795803,79.0776099651,-116393.601028,-26929.6804776,-17027.5993533,-19481.5227956,898.072003684,901.08842161,903.537202847
459.362,744.4184,549.2372,754.41064,620.846265783,4.84858992359,386.726752085,1312.2031673,1312.2031673,386.726752085,0.14509805,0.14509805,6.18785399296,90.4289579463,92.1255257043,0.981584172845,0.131000041962,2378.10526676,6.3440372644,-6.18785399296,-87294.6720895,-41849.3952492,-285.215844028,-285.215844028,2353.44202044,2367.96695532,2377.54975237
632.1221,748.4153,346.51874,782.38873,420.679406924,153.201972415,407.570894816,648.215048453,236.460770799,173.288013724,0.18039216,0.18039216,165.258417653,287.616886134,289.267245524,0.994294689718,0.668000221252,316.346130711,173.216360412,165.258417653,-41849.1606409,-26395.7059108,-9380.0815861,-8493.93960256,299.14907101,305.230364651,312.106087517
