x_start,y_start,x_end,y_end,average-velocity,20-perc-velocity,50-perc-velocity,80-perc-velocity,median-velocity-last5,median-velocity-last3,mid-stroke-area-covered,mid-stroke-pressure,mean-resultant-length,direct-end-to-end-distance,length-of-trajectory,ratio-end-to-end-dist-and-length-of-trajectory,stroke-duration,max-perp-distance,direction-of-end-to-end-line,average-direction,20-perc-accel,50-perc-accel,80-perc-accel,median-accel-first5,20-perc-perp-distance,50-perc-perp-distance,80-perc-perp-distance
997.0768,1301.3221,536.50323,1374.2842,803.747520948,124.910358171,249.676369016,1344.23372659,2588.06718059,1519.31028535,0.06,1.0,166.662970193,466.316932374,472.573952778,0.986759701066,0.694000244141,896.642347052,170.998250909,166.662970193,-81624.4593703,-14081.0174214,-7615.55000351,-6812.87044579,832.619345503,840.025347782,843.855632887
360.66605,1427.2566,730.8773,1363.2899,2344.29560583,0.0,3112.10486627,3573.39420393,3112.10486627,2320.19529799,0.089999996,1.0,9.13073244874,375.696830351,381.496406066,0.984797823458,0.15499997139,4051.93304549,-9.80302265189,-9.13073244874,-214836.050643,-201794.672016,0.0,0.0,3876.6544064,3895.19447226,3997.02994321
822.23865,1348.2977,597.44684,1344.2998,2087.18884518,1562.33857763,1810.92078965,3130.26500614,2840.92142248,1562.33857763,0.049999997,1.0,107.495569874,224.827358316,224.871229789,0.999804904022,0.0929999351501,3151.2149512,-178.981107673,-107.495569874,-351622.666408,-192462.47913,-103682.587942,-174429.609912,3143.14981102,3145.4404882,3148.74458557
476.55875,1427.2566,763.07245,1394.2738,2400.36737354,927.432077857,2975.12120882,3615.7121783,2975.12120882,2455.11348361,0.07,1.0,6.52665848566,288.405903864,289.674375596,0.995621042664,0.116999864578,4683.63637043,-6.56685236601,-6.52665848566,-222364.700784,-197795.738877,-54349.5389674,-197795.738877,4596.06785511,4607.49332079,4646.44848279
916.15173,1373.2847,635.4117,1379.2816,1298.72171477,0.0,1046.46812458,2638.67457366,2654.74827608,1439.99519277,0.06,1.0,32.5801659655,280.804072716,284.005961643,0.988725979878,0.213999986649,2246.05774403,178.776288462,-32.5801659655,-191847.354808,-66311.1960213,0.0,0.0,2207.00612938,2226.9511783,2235.62894759
539.5005,1377.2826,796.2609,1361.0056,1344.0654389,0.0,1699.02898497,2425.02999378,2253.48276439,1699.02898497,0.07,1.0,3.66818034958,257.275812577,257.490494838,0.999166251705,0.192000150681,4484.92494247,-3.62733934902,-3.66818034958,-155553.238166,-127664.987351,0.0,0.0,4436.00899065,4451.694676,4484.92494247
827.2341,1364.2894,525.5134,1402.2697,2154.95731091,754.066510545,2345.88436789,3741.70520644,1745.93250375,1152.86705041,0.049999997,1.0,173.461702743,304.101765856,304.634400523,0.998251560998,0.148999929428,2477.25460609,172.825400852,173.461702743,-246866.023228,-203148.380555,-43387.3561928,-203148.380555,2412.00355552,2466.32620692,2476.46169464
859.20447,1344.2998,594.90265,1350.7173,2200.77585267,852.16870563,2746.16406933,3163.11203886,3147.86202317,2322.86781878,0.049999997,1.0,58.3273608361,264.379720027,265.232836036,0.996783520392,0.119000434875,2478.35444532,178.609077189,58.3273608361,-208553.145104,-181995.534274,-50514.2720972,-168487.044482,2457.80199351,2460.33335077,2478.35444532
476.55875,1415.2628,747.30804,1349.2972,2277.52980419,0.0,3245.26891025,3477.99673278,3199.57958116,1317.53015487,0.08,1.0,10.7880943607,278.669407038,285.500768404,0.976072353836,0.115000009537,4767.34398761,-13.6928163185,-10.7880943607,-359274.934912,-199743.35638,0.0,-196725.493978,4545.13740764,4573.98196885,4684.797199
515.52264,1370.2863,915.15265,1340.3019,1807.11746002,0.0,1552.97544571,3630.81528666,1019.73777921,980.386675839,0.089999996,1.0,6.2359086366,400.75330209,402.594674134,0.995426238442,0.198999881744,2922.67319303,-4.29088544477,-6.2359086366,-224544.656965,-138695.594463,0.0,0.0,2866.94529803,2878.35891302,2919.3033965
448.58466,1395.2733,878.7487,1358.1989,2673.62761628,1586.44462431,3061.36279789,3807.24637738,3617.54902586,3061.36279789,0.089999996,1.0,5.68652244672,431.758743333,434.151688818,0.994488227165,0.15399980545,3059.32283527,-4.92595878395,-5.68652244672,-234891.053564,-226187.607284,-90566.6116849,-90566.6116849,2990.34889968,3000.85857885,3034.31330042
940.1295,1297.3242,571.0305,1345.0175,2802.28286913,508.789074945,3369.04374457,4720.07185383,3772.26905647,2564.01542974,0.06,1.0,72.1091029429,372.167600237,376.307473376,0.988998695396,0.143000125885,1290.90528596,172.637295636,72.1091029429,-292823.827309,-205800.957673,-29076.3648339,-156829.084234,1219.77111743,1249.10261538,1290.90528596
457.57632,1412.2644,781.3288,1314.8772,1109.13361319,0.0,103.672698202,2215.73853148,2479.90412025,3448.86704828,0.11,1.0,18.9280074148,338.082734002,340.248041082,0.993636092441,0.948999881744,3987.99421825,-16.7416851789,-18.9280074148,-136003.473453,-51328.2568279,0.0,0.0,3784.79127223,3926.74916934,3987.99421825
841.22107,1361.291,568.47363,1366.2883,2038.4584775,688.281685334,2829.12136352,3117.42510056,2376.94230037,975.82415579,0.049999997,1.0,77.1055583009,272.79321662,273.174808768,0.99860312102,0.12700009346,2605.77932586,178.950339677,77.1055583009,-263134.025325,-178101.681282,-40188.3967923,-163301.870742,2585.34897969,2602.72911439,2604.77686852
468.56613,1402.2697,766.2874,1339.7424,1883.62714196,0.0,2220.41112545,3018.30215133,3018.30215133,3210.88471818,0.089999996,1.0,12.683026991,304.216399715,305.881573164,0.994556149847,0.15499997139,4303.85812934,-11.8608543061,-12.683026991,-185432.617443,-153329.594974,0.0,0.0,4132.37503138,4176.59141733,4277.75727168
